Hour,Category,Curtailed MWh
1,Zero-Price RES,477.790958215732
2,Zero-Price RES,978.4885655795327
3,Zero-Price RES,1014.3499995
4,Zero-Price RES,1010.2300005
5,Zero-Price RES,1997.2924623089448
6,Zero-Price RES,2096.843030895778
7,Zero-Price RES,2200.898029395778
8,Zero-Price RES,2253.7130308957785
9,Zero-Price RES,2280.3230293957786
10,Zero-Price RES,2742.875
11,Zero-Price RES,3334.0199985
12,Zero-Price RES,3425.8350015000005
13,Zero-Price RES,3447.7799985
14,Zero-Price RES,3470.6550015
15,Zero-Price RES,2993.6299984999996
16,Zero-Price RES,3051.0049984999996
17,Zero-Price RES,2504.799384259682
18,Zero-Price RES,2559.609384259682
19,Zero-Price RES,2603.679387259682
20,Zero-Price RES,2751.308032395778
21,Zero-Price RES,2509.629999
22,Zero-Price RES,2515.509999
23,Zero-Price RES,2786.2430308957787
24,Zero-Price RES,2468.61
25,Zero-Price RES,2667.803030895778
26,Zero-Price RES,2505.140001
27,Zero-Price RES,2543.709999
28,Zero-Price RES,2543.109999
29,Zero-Price RES,2526.81
30,Zero-Price RES,2502.609999
31,Zero-Price RES,3717.6130308957777
32,Zero-Price RES,2583.084385759682
33,Zero-Price RES,2697.458030895778
34,Zero-Price RES,2458.460001
35,Zero-Price RES,2650.358029395778
36,Zero-Price RES,2422.44
37,Zero-Price RES,2645.843030895778
38,Zero-Price RES,3137.3149985
39,Zero-Price RES,2667.5180323957784
40,Zero-Price RES,2479.599999
41,Zero-Price RES,2460.8119537717525
42,Zero-Price RES,2410.3729250792635
43,Zero-Price RES,2285.4461622929584
44,Zero-Price RES,1257.4945499460214
45,Zero-Price RES,2036.1516863891284
46,Zero-Price RES,2103.638030895778
47,Zero-Price RES,1007.228030895778
48,Zero-Price RES,1936.0280298957782
49,Zero-Price RES,1481.2068550831216
50,Zero-Price RES,1340.0995448266253
51,Zero-Price RES,1586.4769653563408
52,Zero-Price RES,1646.5432099342015
53,Zero-Price RES,1971.12
54,Zero-Price RES,1872.5212184659147
55,Zero-Price RES,1915.7727262947092
56,Zero-Price RES,1974.260001
57,Zero-Price RES,2304.4716785229716
58,Zero-Price RES,1952.9035188741027
59,Zero-Price RES,1700.414758007917
60,Zero-Price RES,1461.4415324274335
61,Zero-Price RES,1002.5699396719025
62,Zero-Price RES,643.7181637125593
63,Zero-Price RES,419.9749995
64,Zero-Price RES,338.051351607906
65,Zero-Price RES,1179.4253984787251
66,Zero-Price RES,646.4630313957781
67,Zero-Price RES,707.1380313957781
68,Zero-Price RES,784.5830313957782
69,Zero-Price RES,2267.2687706004385
70,Zero-Price RES,1477.8127031288852
71,Zero-Price RES,1514.424959302007
72,Zero-Price RES,1869.258031895778
73,Zero-Price RES,1481.8210160405
74,Zero-Price RES,2257.897250607709
75,Zero-Price RES,2118.3459361761243
76,Zero-Price RES,2076.63921835531
77,Zero-Price RES,2065.017954555672
78,Zero-Price RES,1924.0419346162143
79,Zero-Price RES,1752.6415173940718
80,Zero-Price RES,1639.540268827496
81,Zero-Price RES,1345.128031895778
82,Zero-Price RES,647.0749995
83,Zero-Price RES,585.54
84,Zero-Price RES,524.415
85,Zero-Price RES,188.7739645027576
86,Zero-Price RES,463.2799995
87,Zero-Price RES,453.2650005
88,Zero-Price RES,0.0
89,Zero-Price RES,211.6077086098385
90,Zero-Price RES,81.99065686611982
91,Zero-Price RES,115.30725166201682
92,Zero-Price RES,225.76507093048716
93,Zero-Price RES,402.751469562426
94,Zero-Price RES,541.6250769661667
95,Zero-Price RES,566.6259726756092
96,Zero-Price RES,547.1721189116872
97,Zero-Price RES,564.4283295127734
98,Zero-Price RES,583.468030895778
99,Zero-Price RES,1243.6680318957779
100,Zero-Price RES,1265.728030895778
101,Zero-Price RES,1262.088031895778
102,Zero-Price RES,1244.2580298957778
103,Zero-Price RES,594.6230313957782
104,Zero-Price RES,567.0077640944928
105,Zero-Price RES,498.8291618572079
106,Zero-Price RES,0.0
107,Zero-Price RES,253.7090131347037
108,Zero-Price RES,228.41220331630257
109,Zero-Price RES,539.9011625880972
110,Zero-Price RES,0.0
111,Price Convergence Low,0.0
112,Zero-Price,0.0
113,Price Convergence Low,0.0
114,Zero-Price,0.0
115,Zero-Price,0.0
116,Zero-Price,0.0
117,Zero-Price,0.0
118,Price Convergence Low,0.0
119,Zero-Price,0.0
120,Price Convergence Low,0.0
121,Zero-Price,0.0
122,Price Convergence Low,0.0
123,Zero-Price,0.0
124,Zero-Price,0.0
125,Zero-Price,0.0
126,Price Convergence Low,0.0
127,Zero-Price,0.0
128,Zero-Price,0.0
129,Zero-Price,0.0
130,Price Convergence Low,0.0
131,Price Convergence Low,0.0
132,Price Convergence Low,0.0
133,Price Convergence Low,0.0
134,Price Convergence Low,0.0
135,Price Convergence Low,0.0
136,Zero-Price RES,0.0
137,Zero-Price RES,819.6280308957781
138,Zero-Price RES,835.6980303957781
139,Zero-Price RES,826.068030395778
140,Zero-Price RES,819.4880313957782
141,Zero-Price RES,818.4430308957782
142,Zero-Price RES,842.5480308957782
143,Zero-Price RES,827.973030395778
144,Zero-Price RES,766.823031395778
145,Zero-Price RES,672.908031395778
146,Zero-Price RES,0.0
147,Zero-Price RES,371.4904624558801
148,Zero-Price RES,146.48015891398632
149,Zero-Price RES,122.25750591963516
150,Zero-Price RES,277.19012983178027
151,Zero-Price RES,578.0357640146125
152,Zero-Price RES,0.0
153,Zero-Price RES,59.78430479632726
154,Zero-Price RES,1250.5245839191398
155,Zero-Price RES,14.52697715518926
156,Zero-Price RES,218.07819908918736
157,Zero-Price RES,1596.4499990000004
158,Zero-Price RES,1583.6599999999999
159,Zero-Price RES,1125.743240474797
160,Zero-Price RES,772.6714218298803
161,Zero-Price RES,914.1164761282818
162,Zero-Price RES,1031.093630570756
163,Zero-Price RES,817.5752968594752
164,Zero-Price RES,906.0117263546184
165,Zero-Price RES,1193.8134706063236
166,Zero-Price RES,2407.640001
167,Zero-Price RES,2417.619999
168,Zero-Price RES,2427.369999
169,Zero-Price RES,2529.7893872596824
170,Zero-Price RES,3072.5638589710607
171,Zero-Price RES,3612.403030895778
172,Zero-Price RES,3096.44
173,Zero-Price RES,3046.4149985
174,Zero-Price RES,3026.4199999999996
175,Zero-Price RES,2964.8450015
176,Zero-Price RES,2965.2799985
177,Zero-Price RES,2324.4172992141434
178,Zero-Price RES,2171.9667545043617
179,Zero-Price RES,1945.5568047932275
180,Zero-Price RES,1800.93
181,Zero-Price RES,1499.5057616879467
182,Zero-Price RES,1529.9988056734078
183,Zero-Price RES,1535.8639712690633
184,Zero-Price RES,1548.3180203610698
185,Zero-Price RES,1536.5952599544453
186,Zero-Price RES,1463.28313114116
187,Zero-Price RES,1710.8296048450234
188,Zero-Price RES,1829.12562478448
189,Zero-Price RES,2251.9130308957783
190,Zero-Price RES,2058.342310066823
191,Zero-Price RES,2172.8654139401983
192,Zero-Price RES,2176.463029395778
193,Zero-Price RES,2317.133029395778
194,Zero-Price RES,2344.370854444186
195,Zero-Price RES,3573.3130293957784
196,Zero-Price RES,3318.0757807864156
197,Zero-Price RES,2554.610001
198,Zero-Price RES,2295.113030895778
199,Zero-Price RES,2057.6132702564096
200,Zero-Price RES,2043.9230308957779
201,Zero-Price RES,2018.229999
202,Zero-Price RES,2015.13
203,Zero-Price RES,2150.6480323957785
204,Zero-Price RES,2598.863030895778
205,Zero-Price RES,2761.943030895778
206,Zero-Price RES,2739.8930308957783
207,Zero-Price RES,2700.2930308957784
208,Zero-Price RES,2642.9930323957783
209,Zero-Price RES,2409.909999
210,Zero-Price RES,2364.3398134909676
211,Zero-Price RES,2334.8323237835207
212,Zero-Price RES,2579.183032395778
213,Zero-Price RES,2591.738032395778
214,Zero-Price RES,2623.373032395778
215,Zero-Price RES,2511.12
216,Zero-Price RES,2759.936759676465
217,Zero-Price RES,2695.044385759682
218,Zero-Price RES,2688.654385759682
219,Zero-Price RES,2677.5993842596818
220,Zero-Price RES,2654.574387259682
221,Zero-Price RES,2646.129385759682
222,Zero-Price RES,2726.9427115726726
223,Zero-Price RES,2546.079999
224,Zero-Price RES,2550.339999
225,Zero-Price RES,2099.25
226,Zero-Price RES,1597.4600010000001
227,Zero-Price RES,1575.7700009999999
228,Zero-Price RES,1864.760001
229,Zero-Price RES,2510.6330293957785
230,Zero-Price RES,2551.010001
231,Zero-Price RES,2551.1099999999997
232,Zero-Price RES,2544.410001
233,Zero-Price RES,2543.13
234,Zero-Price RES,2536.550001
235,Zero-Price RES,1808.858879896943
236,Zero-Price RES,2522.22
237,Zero-Price RES,2505.57
238,Zero-Price RES,2485.959999
239,Zero-Price RES,2440.3085078970626
240,Zero-Price RES,2487.27
241,Zero-Price RES,2488.190001
242,Zero-Price RES,2704.193032395778
243,Zero-Price RES,2711.6930293957776
244,Zero-Price RES,2731.343030895778
245,Zero-Price RES,2500.11
246,Zero-Price RES,2507.91
247,Zero-Price RES,2513.31
248,Zero-Price RES,2519.510001
249,Zero-Price RES,2781.5930323957778
250,Zero-Price RES,2521.809999
251,Zero-Price RES,2790.1430323957784
252,Zero-Price RES,3266.135
253,Zero-Price RES,2774.093030895778
254,Zero-Price RES,2576.287164116299
255,Zero-Price RES,2488.809999
256,Zero-Price RES,2470.010001
257,Zero-Price RES,2459.31
258,Zero-Price RES,2462.61
259,Zero-Price RES,2468.409999
260,Zero-Price RES,2416.408617514395
261,Zero-Price RES,2693.093030895778
262,Zero-Price RES,2464.610001
263,Zero-Price RES,2693.8430323957778
264,Zero-Price RES,2686.6430323957784
265,Zero-Price RES,2566.944384259682
266,Zero-Price RES,2556.4293872596822
267,Zero-Price RES,2568.654384259682
268,Zero-Price RES,2586.0393872596824
269,Zero-Price RES,2607.5943872596818
270,Zero-Price RES,2642.6343842596816
271,Zero-Price RES,2520.909999
272,Zero-Price RES,2531.31
273,Zero-Price RES,2539.509999
274,Zero-Price RES,2546.109999
275,Zero-Price RES,2549.649294020654
276,Zero-Price RES,2554.310001
277,Zero-Price RES,2554.1099999999997
278,Zero-Price RES,2547.710001
279,Zero-Price RES,2539.209999
280,Zero-Price RES,2529.009999
281,Zero-Price RES,2751.293029395778
282,Zero-Price RES,2712.443030895778
283,Zero-Price RES,2459.7099989999997
284,Zero-Price RES,2670.593030895778
285,Zero-Price RES,2666.123032395778
286,Zero-Price RES,2668.748030895778
287,Zero-Price RES,2576.108029395778
288,Zero-Price RES,2509.298032395778
289,Zero-Price RES,2343.279385759682
290,Zero-Price RES,2325.804387259682
291,Zero-Price RES,2426.844385759682
292,Zero-Price RES,2633.619385759682
293,Zero-Price RES,2679.219384259682
294,Zero-Price RES,2649.879384259682
295,Zero-Price RES,2452.299999
296,Zero-Price RES,2541.4880308957777
297,Zero-Price RES,2399.573029395778
298,Zero-Price RES,2102.630001
299,Zero-Price RES,1907.8477250686428
300,Zero-Price RES,1764.6149520093359
301,Zero-Price RES,1676.7869018574202
302,Zero-Price RES,1674.479970309003
303,Zero-Price RES,1679.8016757969067
304,Zero-Price RES,1665.134560253317
305,Zero-Price RES,1207.3157814789952
306,Zero-Price RES,1228.917083969274
307,Zero-Price RES,1548.051388597451
308,Zero-Price RES,2058.687244541103
309,Zero-Price RES,2121.828236771208
310,Zero-Price RES,2139.553514507197
311,Zero-Price RES,1881.6388027330177
312,Zero-Price RES,2015.353740709982
313,Zero-Price RES,1892.8475542066813
314,Zero-Price RES,1791.4349151104516
315,Zero-Price RES,1937.5589653023078
316,Zero-Price RES,2220.593030895778
317,Zero-Price RES,2304.279384259682
318,Zero-Price RES,2387.34
319,Zero-Price RES,2416.670001
320,Zero-Price RES,2385.890001
321,Zero-Price RES,2284.269999
322,Zero-Price RES,2254.073030895778
323,Zero-Price RES,2141.876441612717
324,Zero-Price RES,2086.012400943938
325,Zero-Price RES,2704.0700015
326,Zero-Price RES,2752.055
327,Zero-Price RES,2129.2912872690044
328,Zero-Price RES,2038.220001
329,Zero-Price RES,1739.0550956652346
330,Zero-Price RES,1909.2132169152196
331,Zero-Price RES,2310.548030895778
332,Zero-Price RES,1959.5483948437873
333,Zero-Price RES,2327.9780293957783
334,Zero-Price RES,2445.338029395778
335,Zero-Price RES,2553.7880293957783
336,Zero-Price RES,2422.119999
337,Zero-Price RES,2574.819384259682
338,Zero-Price RES,3698.3230293957777
339,Zero-Price RES,2203.9280323957782
340,Zero-Price RES,2111.348029395778
341,Zero-Price RES,3129.1950015
342,Zero-Price RES,3142.6349984999997
343,Zero-Price RES,3818.728030895778
344,Zero-Price RES,2555.510001
345,Zero-Price RES,3802.5130323957783
346,Zero-Price RES,3759.9130308957774
347,Zero-Price RES,2609.5213997106916
348,Zero-Price RES,2565.3169466565814
349,Zero-Price RES,2453.061378570001
350,Zero-Price RES,2573.543029395778
351,Zero-Price RES,2481.6156303427906
352,Zero-Price RES,2588.093032395778
353,Zero-Price RES,2561.7843872596823
354,Zero-Price RES,2505.009999
355,Zero-Price RES,2527.010001
356,Zero-Price RES,2523.009999
357,Zero-Price RES,2517.609999
358,Zero-Price RES,2525.2100010000004
359,Zero-Price RES,2537.409999
360,Zero-Price RES,2542.310001
361,Zero-Price RES,2539.310001
362,Zero-Price RES,2530.610001
363,Zero-Price RES,2517.51
364,Zero-Price RES,2496.410001
365,Zero-Price RES,2458.310001
366,Zero-Price RES,2406.18
367,Zero-Price RES,2207.075284526563
368,Zero-Price RES,485.4400145005594
369,Zero-Price RES,272.35029199331905
370,Zero-Price RES,79.74905732625939
371,Zero-Price RES,824.4483864365221
372,Zero-Price RES,692.1693391275576
373,Zero-Price RES,0.0
374,Zero-Price RES,518.2857019427595
375,Price Convergence Low,0.0
376,Price Convergence Low,0.0
377,Price Convergence Low,0.0
378,Price Convergence Low,0.0
379,Zero-Price,0.0
380,Price Convergence Low,0.0
381,Price Convergence Low,0.0
382,Price Convergence Low,0.0
383,Price Convergence Low,0.0
384,Price Convergence Low,0.0
385,Price Convergence Low,0.0
386,Price Convergence Low,0.0
387,Price Convergence Low,0.0
388,Price Convergence Low,0.0
389,Price Convergence Low,0.0
390,Price Convergence Low,0.0
391,Price Convergence Low,0.0
392,Price Convergence Low,0.0
393,Price Convergence Low,0.0
394,Price Convergence Low,0.0
395,Zero-Price RES,146.04925252812882
396,Zero-Price RES,0.0
397,Zero-Price RES,0.0
398,Zero-Price RES,1471.8500000000004
399,Zero-Price RES,1579.8799999999994
400,Zero-Price RES,919.8577247298646
401,Zero-Price RES,849.0769178165475
402,Zero-Price RES,404.68288862405836
403,Zero-Price RES,789.2372613407701
404,Zero-Price RES,262.6572014757627
405,Zero-Price RES,47.41794988921583
406,Zero-Price RES,903.288030395778
407,Zero-Price RES,844.183030895778
408,Zero-Price RES,0.0
409,Zero-Price RES,678.0680313957781
410,Zero-Price RES,616.523031395778
411,Zero-Price RES,516.7003039268302
412,Zero-Price RES,429.1809777422145
413,Zero-Price RES,377.3098680110583
414,Zero-Price RES,342.89374378153536
415,Zero-Price,0.0
416,Price Convergence Low,0.0
417,Price Convergence Low,0.0
418,Zero-Price,0.0
419,Zero-Price,0.0
420,Price Convergence Low,0.0
421,Zero-Price,0.0
422,Price Convergence Middle,0.0
423,Zero-Price,0.0
424,Price Convergence Low,0.0
425,Zero-Price,0.0
426,Price Convergence Low,0.0
427,Zero-Price,0.0
428,Price Convergence Low,0.0
429,Zero-Price,0.0
430,Price Convergence Low,0.0
431,Zero-Price,0.0
432,Zero-Price,0.0
433,Price Convergence Low,0.0
434,Price Convergence Low,0.0
435,Price Convergence Low,0.0
436,Zero-Price,0.0
437,Zero-Price,0.0
438,Zero-Price,0.0
439,Price Convergence Low,0.0
440,Zero-Price,0.0
441,Zero-Price,0.0
442,Price Convergence Low,0.0
443,Zero-Price,0.0
444,Price Convergence Low,0.0
445,Price Convergence Low,0.0
446,Price Convergence Low,0.0
447,Zero-Price,0.0
448,Price Convergence Low,0.0
449,Zero-Price,0.0
450,Price Convergence Middle,0.0
451,Price Convergence Middle,0.0
452,Price Convergence Middle,0.0
453,Zero-Price,0.0
454,Zero-Price,0.0
455,Price Convergence Low,0.0
456,Price Convergence Low,0.0
457,Price Convergence Low,0.0
458,Price Convergence Low,0.0
459,Price Convergence Low,0.0
460,Zero-Price,0.0
461,Zero-Price,0.0
462,Zero-Price,0.0
463,Zero-Price,0.0
464,Price Convergence High,0.0
465,Price Convergence Middle,0.0
466,Zero-Price,0.0
467,Price Convergence Low,0.0
468,Zero-Price,0.0
469,Price Convergence Middle,0.0
470,Zero-Price,0.0
471,Zero-Price,0.0
472,Zero-Price,0.0
473,Price Convergence Low,0.0
474,Price Convergence Low,0.0
475,Price Convergence Low,0.0
476,Zero-Price,0.0
477,Zero-Price,0.0
478,Zero-Price,0.0
479,Zero-Price,0.0
480,Price Convergence Low,0.0
481,Zero-Price,0.0
482,Price Convergence Low,0.0
483,Zero-Price,0.0
484,Zero-Price,0.0
485,Zero-Price,0.0
486,Zero-Price,0.0
487,Price Convergence Low,0.0
488,Zero-Price,0.0
489,Zero-Price,0.0
490,Zero-Price,0.0
491,Zero-Price,0.0
492,Price Convergence Middle,0.0
493,Price Convergence Middle,0.0
494,Price Convergence Middle,0.0
495,Price Convergence Low,0.0
496,Zero-Price,0.0
497,Price Convergence Low,0.0
498,Price Convergence Low,0.0
499,Zero-Price,0.0
500,Zero-Price,0.0
501,Price Convergence Low,0.0
502,Zero-Price,0.0
503,Zero-Price,0.0
504,Zero-Price,0.0
505,Price Convergence Low,0.0
506,Price Convergence Low,0.0
507,Zero-Price,0.0
508,Zero-Price,0.0
509,Zero-Price,0.0
510,Price Convergence Low,0.0
511,Price Convergence Low,0.0
512,Zero-Price,0.0
513,Price Convergence Low,0.0
514,Price Convergence Low,0.0
515,Zero-Price,0.0
516,Price Convergence Low,0.0
517,Zero-Price,0.0
518,Zero-Price,0.0
519,Zero-Price,0.0
520,Zero-Price,0.0
521,Zero-Price,0.0
522,Price Convergence Low,0.0
523,Zero-Price,0.0
524,Zero-Price,0.0
525,Price Convergence Low,0.0
526,Price Convergence Low,0.0
527,Zero-Price,0.0
528,Zero-Price,0.0
529,Price Convergence Low,0.0
530,Price Convergence Low,0.0
531,Zero-Price,0.0
532,Price Convergence Low,0.0
533,Zero-Price,0.0
534,Price Convergence Low,0.0
535,Price Convergence Low,0.0
536,Price Convergence Middle,0.0
537,Zero-Price,0.0
538,Price Convergence Low,0.0
539,Zero-Price,0.0
540,Price Convergence Low,0.0
541,Price Convergence Low,0.0
542,Price Convergence Low,0.0
543,Price Convergence Low,0.0
544,Price Convergence Low,0.0
545,Price Convergence Low,0.0
546,Price Convergence Low,0.0
547,Price Convergence Low,0.0
548,Price Convergence Low,0.0
549,Other Price Formation,0.0
550,Zero-Price RES,222.2727459945253
551,Zero-Price RES,904.5806223843304
552,Zero-Price RES,923.7321994322332
553,Zero-Price RES,880.0310662087754
554,Zero-Price RES,1143.1965371155457
555,Zero-Price RES,1311.83499070777
556,Zero-Price RES,1272.0658296188112
557,Zero-Price RES,730.1539229366679
558,Zero-Price RES,608.8537854194192
559,Zero-Price RES,202.2341312246288
560,Zero-Price RES,471.16553218704377
561,Zero-Price RES,581.6237388680102
562,Zero-Price RES,767.145166952609
563,Zero-Price RES,684.1735407176657
564,Zero-Price RES,971.7146884093981
565,Zero-Price RES,916.4809813615848
566,Zero-Price RES,753.7084558390732
567,Zero-Price,720.9042875863189
568,Zero-Price RES,287.0253518583263
569,Zero-Price RES,143.43291159018088
570,Zero-Price RES,0.0
571,Price Convergence Low,0.0
572,Price Convergence Low,0.0
573,Price Convergence Low,0.0
574,Price Convergence Low,0.0
575,Zero-Price RES,0.0
576,Zero-Price RES,765.8580303957782
577,Zero-Price RES,727.1980308957781
578,Zero-Price RES,680.7230313957781
579,Zero-Price RES,629.6130303957781
580,Zero-Price RES,484.00300428821777
581,Zero-Price RES,329.3837249588803
582,Zero-Price,0.0
583,Zero-Price,0.0
584,Price Convergence Low,0.0
585,Price Convergence Low,0.0
586,Zero-Price,0.0
587,Price Convergence Low,0.0
588,Zero-Price,0.0
589,Zero-Price,0.0
590,Price Convergence Low,0.0
591,Price Convergence Low,0.0
592,Zero-Price,0.0
593,Price Convergence Low,0.0
594,Price Convergence Low,0.0
595,Price Convergence Low,0.0
596,Price Convergence Low,0.0
597,Price Convergence Low,0.0
598,Price Convergence Low,0.0
599,Price Convergence Low,0.0
600,Price Convergence Low,0.0
601,Price Convergence Low,0.0
602,Price Convergence Low,0.0
603,Zero-Price RES,0.0
604,Zero-Price RES,0.0
605,Zero-Price RES,0.0
606,Zero-Price RES,764.9030313957782
607,Zero-Price RES,0.0
608,Zero-Price RES,0.0
609,Zero-Price RES,856.148031395778
610,Zero-Price RES,858.6080313957781
611,Zero-Price RES,854.2280313957782
612,Zero-Price RES,928.713030395778
613,Zero-Price RES,969.388030895778
614,Zero-Price RES,849.8534444757333
615,Zero-Price RES,532.2419316494585
616,Zero-Price RES,501.8216356573315
617,Zero-Price RES,893.3398616379653
618,Zero-Price RES,933.4836796028522
619,Zero-Price RES,901.8043156192022
620,Zero-Price RES,486.8946310108464
621,Zero-Price RES,942.700710315311
622,Zero-Price RES,460.0483090126562
623,Zero-Price RES,821.8806243843303
624,Zero-Price RES,822.8742052220981
625,Zero-Price RES,1845.3897291748885
626,Zero-Price RES,1718.1237460344655
627,Zero-Price RES,1558.139008294164
628,Zero-Price RES,1323.158821032685
629,Zero-Price RES,2107.1909053438458
630,Zero-Price RES,1966.4732903135887
631,Zero-Price RES,1939.8724927681892
632,Zero-Price RES,809.8730313957782
633,Zero-Price RES,779.3680308957781
634,Zero-Price RES,728.468031395778
635,Zero-Price RES,0.0
636,Zero-Price RES,481.5595658485788
637,Zero-Price RES,386.9214449964527
638,Zero-Price RES,265.1805482870109
639,Zero-Price RES,143.78102575611524
640,Zero-Price,0.0
641,Zero-Price,0.0
642,Price Convergence Low,0.0
643,Price Convergence Low,0.0
644,Price Convergence Low,0.0
645,Zero-Price,0.0
646,Price Convergence Low,0.0
647,Price Convergence Low,0.0
648,Price Convergence Low,0.0
649,Zero-Price RES,824.083030895778
650,Zero-Price RES,322.9634310738407
651,Zero-Price RES,612.5351498637864
652,Zero-Price RES,868.272598373919
653,Zero-Price RES,726.7059389005093
654,Zero-Price RES,1060.1016270643604
655,Zero-Price RES,1395.2906700897606
656,Zero-Price RES,2326.62
657,Zero-Price RES,2649.773029395778
658,Zero-Price RES,2723.723032395778
659,Zero-Price RES,2670.984384259682
660,Zero-Price RES,3175.4071958566115
661,Zero-Price RES,2833.808030895778
662,Zero-Price RES,2538.339999
663,Zero-Price RES,2509.209999
664,Zero-Price RES,2505.009999
665,Zero-Price RES,2517.410001
666,Zero-Price RES,2525.2100010000004
667,Zero-Price RES,2517.410001
668,Zero-Price RES,2510.109999
669,Zero-Price RES,2502.410001
670,Zero-Price RES,2494.910001
671,Zero-Price RES,2493.309999
672,Zero-Price RES,2498.91
673,Zero-Price RES,2500.910001
674,Zero-Price RES,2632.584385759682
675,Zero-Price RES,2489.7099989999997
676,Zero-Price RES,2607.834385759682
677,Zero-Price RES,2592.534385759682
678,Zero-Price RES,3146.19958591839
679,Zero-Price RES,3120.99411895881
680,Zero-Price RES,3017.9099754747085
681,Zero-Price RES,2369.25
682,Zero-Price RES,3540.4799985
683,Zero-Price RES,2348.559999
684,Zero-Price RES,2974.0400000000004
685,Zero-Price RES,2356.7193872596818
686,Zero-Price RES,2285.150001
687,Zero-Price RES,2747.2700014999996
688,Zero-Price RES,1960.6150247072555
689,Zero-Price RES,1589.0857014227893
690,Zero-Price RES,0.0
691,Zero-Price RES,519.0723406455162
692,Zero-Price RES,447.12960279744095
693,Zero-Price RES,429.43035670364
