BusID;Latitude;Longitude;Zone
1;52.070499;4.300700;1
2;51.924419;4.477733;1
3;51.824055;4.968122;1
5;52.212813;6.862834;1
6;52.115097;6.459254;1
7;52.424355;6.357787;1
9;52.779664;6.887657;1
11;52.194298;5.981412;1
12;52.370216;4.895168;1
13;52.039135;5.654518;1
14;52.301000;5.046652;1
15;52.090736;5.121420;1
16;51.421637;5.482039;1
17;51.927649;4.015284;1
18;52.699846;5.770470;1
19;52.978726;6.552577;1
20;52.148817;5.405197;1
21;52.268788;8.085290;1
22;52.703643;8.513579;1
23;53.153977;8.557506;1
24;53.028620;8.8210693;3
25;53.537349;8.629341;1
27;52.770162;8.217071;1
28;51.310174;3.823273;1
29;51.476412;3.817782;1
31;51.747598;4.114290;1
32;52.154346;7.437366;1
33;52.508777;6.109511;1
34;53.219383;6.566502;1
35;53.184796;5.789779;1
37;52.454983;4.604662;1
39;56.535542;8.222699;2
40;56.158362;8.260903;2
41;56.292728;8.546429;2
42;55.783041;9.013922;2
43;53.333469;6.926720;1
44;55.838892;9.479433;2
45;55.671680;9.524574;2
46;55.457348;8.453316;2
47;55.279702;10.336284;2
49;55.863271;9.837543;2
50;56.436828;9.415031;2
52;56.383787;8.920431;2
53;56.435451;8.519592;2
54;56.305182;9.126954;2
55;56.952604;8.689781;2
56;56.103258;10.204617;2
57;56.365821;10.072895;2
58;56.562651;9.035972;2
59;57.026065;9.941601;2
60;57.566218;9.985528;2
61;57.433262;10.510726;2
62;57.721821;10.583716;2
65;55.687166;12.533568;2
67;56.617237;9.727769;2
68;54.659684;9.400441;3
70;52.322540;9.227394;3
71;52.491300;9.467178;3
72;53.534390;10.050339;3
73;52.181300;10.522924;3
75;51.532989;9.929589;3
76;52.396344;9.776483;3
77;51.461494;11.972837;3
78;51.235697;9.556319;3
79;49.311470;7.436719;3
80;50.037297;8.765795;3
82;51.338119;12.445053;3
83;50.979507;11.018799;3
85;49.803206;9.996806;3
86;49.404495;11.084002;3
87;48.108119;11.633090;3
88;48.734795;9.189697;3
89;49.511612;8.590680;3
91;49.774502;7.320854;3
93;50.168267;8.259043;3
94;50.254395;8.006462;3
95;52.130432;11.601209;3
96;52.416451;13.378503;3
97;54.040643;12.193735;3
98;50.322834;8.750638;3
99;50.574680;8.687493;3
100;50.931063;6.982254;3
101;51.224128;6.790847;3
102;51.718681;8.763190;3
103;51.430361;7.009631;3
104;50.367146;7.657070;3
106;50.872170;6.707429;3
107;50.744059;7.129945;3
108;50.764422;6.084066;3
109;51.405283;6.642743;3
110;51.475476;6.716869;3
111;51.877127;7.646393;3
112;51.747757;6.257177;3
113;51.825753;4.333925;1
114;52.322540;7.294603;1
117;52.160114;4.497010;1
118;51.917803;9.315248;3
119;54.496166;5.414199;4
120;54.559920;6.281759;4
121;53.904642;7.211775;1
122;56.508271;7.756170;2
123;54.374458;7.832245;3
124;55.504333;7.0956734;4